UNITID,year,total_enrollment,undergrad_enrollment,grad_enrollment,XEYTOTLT_total
127617,2014,2469.0,2469.0,,R
127653,2014,1121.0,471.0,650.0,R
127680,2014,492.0,492.0,,R
127699,2014,371.0,371.0,,R
127714,2014,1256.0,1256.0,,R
127732,2014,2759.0,2759.0,,R
127741,2014,15300.0,11284.0,4016.0,R
127778,2014,2121.0,2121.0,,R
127787,2014,634.0,634.0,,R
127820,2014,20955.0,20955.0,,R
127839,2014,551.0,551.0,,R
127884,2014,10331.0,10331.0,,R
127909,2014,14889.0,14889.0,,R
127918,2014,12786.0,6485.0,6301.0,R
127945,2014,1212.0,1162.0,50.0,R
127954,2014,81.0,12.0,69.0,R
128106,2014,13308.0,6420.0,6888.0,R
128151,2014,1496.0,1496.0,,R
128179,2014,841.0,841.0,,R
128188,2014,1068.0,1068.0,,R
128258,2014,2515.0,2515.0,,R
128328,2014,3983.0,3983.0,,R
128337,2014,228.0,228.0,,R
128391,2014,3022.0,2671.0,351.0,R
128425,2014,25.0,22.0,3.0,R
128498,2014,2052.0,1615.0,437.0,R
128540,2014,179.0,179.0,,R
128577,2014,2519.0,2519.0,,R
128586,2014,72.0,72.0,,R
128674,2014,888.0,888.0,,R
128683,2014,1155.0,1155.0,,R
128726,2014,232.0,232.0,,R
128744,2014,5878.0,3310.0,2568.0,R
128771,2014,14279.0,11255.0,3024.0,R
128780,2014,2489.0,2489.0,,R
128896,2014,411.0,411.0,,R
128902,2014,2044.0,2035.0,9.0,R
128957,2014,258.0,258.0,,R
129002,2014,618.0,618.0,,R
129020,2014,28335.0,19475.0,8860.0,R
129154,2014,5618.0,5618.0,,R
129181,2014,1249.0,1249.0,,R
129215,2014,6193.0,5879.0,314.0,R
129242,2014,5664.0,4300.0,1364.0,R
129349,2014,213.0,213.0,,R
129367,2014,6095.0,6095.0,,R
129428,2014,356.0,,356.0,R
129482,2014,567.0,567.0,,R
129491,2014,167.0,,167.0,R
129525,2014,8870.0,6147.0,2723.0,R
129534,2014,532.0,86.0,446.0,R
129543,2014,8181.0,8181.0,,R
129613,2014,74.0,74.0,,R
129686,2014,78.0,78.0,,R
129695,2014,10558.0,10558.0,,R
129729,2014,9804.0,9804.0,,R
129756,2014,4495.0,4495.0,,R
129774,2014,930.0,930.0,,R
129808,2014,6316.0,6316.0,,R
129923,2014,687.0,687.0,,R
129932,2014,306.0,306.0,,R
129941,2014,7645.0,5476.0,2169.0,R
129969,2014,364.0,364.0,,R
130004,2014,9021.0,9021.0,,R
130040,2014,2124.0,2124.0,,R
130110,2014,162.0,162.0,,R
130129,2014,794.0,794.0,,R
130174,2014,5257.0,5257.0,,R
130183,2014,15098.0,13790.0,1308.0,R
130217,2014,2563.0,2563.0,,R
130226,2014,9562.0,6759.0,2803.0,R
130253,2014,8440.0,5067.0,3373.0,R
130314,2014,3165.0,1218.0,1947.0,R
130396,2014,11792.0,11792.0,,R
130448,2014,978.0,978.0,,R
130493,2014,12696.0,9415.0,3281.0,R
130509,2014,631.0,631.0,,R
130581,2014,123.0,,123.0,R
130590,2014,2609.0,2473.0,136.0,R
130606,2014,6569.0,6569.0,,R
130624,2014,902.0,902.0,,R
130697,2014,3542.0,3135.0,407.0,R
130776,2014,7174.0,6418.0,756.0,R
130785,2014,10.0,,10.0,R
130794,2014,13335.0,6615.0,6720.0,R
130837,2014,57.0,57.0,,R
130873,2014,990.0,990.0,,R
130891,2014,5653.0,5653.0,,R
130907,2014,4087.0,4087.0,,R
130916,2014,9681.0,9681.0,,R
130934,2014,4857.0,4349.0,508.0,R
130943,2014,23535.0,19569.0,3966.0,R
130989,2014,2554.0,671.0,1883.0,R
131061,2014,225.0,225.0,,R
131098,2014,1924.0,1816.0,108.0,R
131113,2014,19043.0,11296.0,7747.0,R
131159,2014,13778.0,7900.0,5878.0,R
131283,2014,7326.0,3844.0,3482.0,R
131308,2014,767.0,522.0,245.0,R
131399,2014,6455.0,6075.0,380.0,R
