UNITID,year,F2D01,F2D16,F2A02,F2A03,total_expenses,change_in_net_assets,expendable_net_assets,assets_to_liabilities,operating_margin,expenses_to_revenue,endowment_boy,endowment_eoy,q_F2D01,q_F2D16,q_F2A02,q_F2A03,q_total_expenses,q_change_in_net_assets,q_expendable_net_assets,q_endowment_eoy,reported_field_count,all_fields_reported
101912,2015,21950604,57549593,93725737.0,18889069.0,52219973.0,5329620.0,71515603.0,4.961903469143979,0.09260916927770453,0.9073908307222954,12014468.0,12667552.0,True,True,True,True,True,True,True,True,8,True
101912,2016,21333870,53579750,93924759.0,17749201.0,52240860.0,1338890.0,72880524.0,5.291773922668407,0.02498873175033478,0.9750112682496652,12667552.0,13228594.0,True,True,True,True,True,True,True,True,8,True
101912,2017,20447514,55721197,97726924.0,17085268.0,51255099.0,4466098.0,76854795.0,5.71995265160605,0.08015079073050065,0.9198492092694993,13228594.0,15646791.0,True,True,True,True,True,True,True,True,8,True
101912,2018,20687176,57364668,99736770.0,16516728.0,54786282.0,2578386.0,79103066.0,6.038530755001839,0.04494728357880499,0.955052716421195,15646791.0,17659346.0,True,True,True,True,True,True,True,True,8,True
101912,2019,23316539,57079560,101474881.0,16741379.0,55566100.0,1513460.0,84733502.0,6.0613215315178035,0.026514920577523724,0.9734850794224763,17659346.0,19744545.0,True,True,True,True,True,True,True,True,8,True
101912,2020,21999794,58363294,104408271.0,19154713.0,57843238.0,520056.0,37734608.0,5.450787542470618,0.008910669092803433,0.9910893309071965,19744545.0,20201402.0,True,True,True,True,True,True,True,True,8,True
101912,2021,18229391,61654689,115223075.0,21667855.0,53353027.0,8301662.0,36095035.0,5.317696421727024,0.13464769889602396,0.8653523011039761,20201402.0,26286780.0,True,True,True,True,True,True,True,True,8,True
101912,2022,17620690,54456136,128063334.0,43426280.0,63374302.0,-8918166.0,41637741.0,2.94898236735912,-0.16376788099691833,1.1637678809969183,26286780.0,19810091.0,True,True,True,True,True,True,True,True,8,True
101912,2023,16957375,58953807,118855484.0,41884390.0,66619767.0,-7665960.0,32441624.0,2.8377035931524848,-0.13003333270741957,1.1300333327074195,19810091.0,13631785.0,True,True,True,True,True,True,True,True,8,True
101912,2024,17248039,63553119,112088713.0,37348020.0,65783520.0,-2230401.0,26681167.0,3.001195592162583,-0.03509506748205387,1.0350950674820538,13631785.0,9755394.0,True,True,True,True,True,True,True,True,8,True
102049,2014,91464811,176643290,592181673.0,243369193.0,145519137.0,25530926.0,208056121.0,2.4332647271423546,0.14453380029323504,0.8238022344352848,294872360.0,323843012.0,True,True,True,True,True,True,True,True,8,True
102049,2015,94369913,146121052,633671347.0,308832294.0,152407077.0,-23973427.0,180701989.0,2.0518299391319483,-0.16406552424766283,1.0430192974520878,323843012.0,319249582.0,True,True,True,True,True,True,True,True,8,True
102049,2016,102726460,153957812,629166485.0,346742135.0,163185319.0,-42414703.0,134854220.0,1.8145083088906977,-0.2754956208392985,1.0599352957808987,319249582.0,316689684.0,True,True,True,True,True,True,True,True,8,True
102049,2017,107049659,188308548,695296431.0,384493211.0,172665969.0,28378870.0,159911238.0,1.8083451439666642,0.15070409867957774,0.9169311262492449,316689684.0,335023718.0,True,True,True,True,True,True,True,True,8,True
102049,2018,109799756,180484277,707308926.0,389255570.0,169577561.0,7250136.0,160510815.0,1.8170810657892449,0.040170457618310985,0.9395697166462872,335023718.0,345325875.0,True,True,True,True,True,True,True,True,8,True
102049,2019,114874933,181572091,721884021.0,432635269.0,175630504.0,-28804604.0,128445740.0,1.6685741379073744,-0.15864004121646647,0.9672769809100232,345325875.0,347137118.0,True,True,True,True,True,True,True,True,8,True
102049,2020,118749818,159984333,717316592.0,460870054.0,174210922.0,-32802214.0,23936125.0,1.5564400111793768,-0.2050339141645826,1.0889248886639418,347137118.0,332869066.0,True,True,True,True,True,True,True,True,8,True
102049,2021,122128093,263217953,801305714.0,405933980.0,170878015.0,138925196.0,154316242.0,1.9739803846921118,0.5277952906198613,0.6491882983376898,332869066.0,368437572.0,True,True,True,True,True,True,True,True,8,True
102049,2022,118939193,257272144,871369127.0,370304342.0,182692926.0,105693051.0,155131721.0,2.3531161484463503,0.4108219776797911,0.71011545657271,368437572.0,426345689.0,True,True,True,True,True,True,True,True,8,True
102049,2023,118865912,207249115,969787118.0,452214496.0,188447471.0,16507837.0,159622005.0,2.1445290378307553,0.07965214712738339,0.9092799793137838,426345689.0,443471031.0,True,True,True,True,True,True,True,True,8,True
102049,2024,120175870,229931884,1191579925.0,643748079.0,197342370.0,30259224.0,168012283.0,1.8510034652856804,0.13160081791875372,0.8582644849724278,443471031.0,469998443.0,True,True,True,True,True,True,True,True,8,True
102058,2014,2689000,5232538,2119088.0,299181.0,2953414.0,171869.0,1009192.0,7.082963156082773,0.032846201976937384,0.5644324035487177,,,True,True,True,True,True,True,True,True,8,True
